epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,0.0313725508749485,4.4376420974731445
0,31,0.010784314014017582,4.644588470458984,,
1,63,,,0.05588235333561897,4.18764591217041
1,63,0.02549019642174244,4.458520889282227,,
2,95,,,0.06078431382775307,3.984557867050171
2,95,0.022549020126461983,4.262495517730713,,
3,127,,,0.0784313753247261,3.8377277851104736
3,127,0.053921569138765335,4.079526424407959,,
4,159,,,0.11568627506494522,3.7272071838378906
4,159,0.04901960864663124,3.9777655601501465,,
5,191,,,0.09607843309640884,3.6467645168304443
5,191,0.06078431382775307,3.900864601135254,,
6,223,,,0.10784313827753067,3.600066900253296
6,223,0.06568627804517746,3.809471845626831,,
7,255,,,0.0990196093916893,3.6119484901428223
7,255,0.07647059112787247,3.779595375061035,,
8,287,,,0.11372549086809158,3.5525925159454346
8,287,0.07156863063573837,3.671433448791504,,
9,319,,,0.1303921639919281,3.501420021057129
9,319,0.09215686470270157,3.676504135131836,,
10,351,,,0.14215686917304993,3.4999871253967285
10,351,0.08627451211214066,3.615633010864258,,
11,383,,,0.12450980395078659,3.508641481399536
11,383,0.09803921729326248,3.62296199798584,,
12,415,,,0.13823530077934265,3.4544103145599365
12,415,0.10098039358854294,3.525470495223999,,
13,447,,,0.14901961386203766,3.3721745014190674
13,447,0.125490203499794,3.4883251190185547,,
14,479,,,0.15980392694473267,3.394369125366211
14,479,0.10980392247438431,3.47489333152771,,
15,511,,,0.15294118225574493,3.4021213054656982
15,511,0.12156862765550613,3.4874861240386963,,
16,543,,,0.1568627506494522,3.407426595687866
16,543,0.12156862765550613,3.426318883895874,,
17,575,,,0.17549020051956177,3.3646609783172607
17,575,0.13823530077934265,3.360805034637451,,
18,607,,,0.16764706373214722,3.3782050609588623
18,607,0.12647059559822083,3.365675926208496,,
19,639,,,0.16764706373214722,3.35254168510437
19,639,0.12156862765550613,3.360870122909546,,
20,671,,,0.17352941632270813,3.3350467681884766
20,671,0.13725490868091583,3.290342330932617,,
21,703,,,0.17941176891326904,3.3646154403686523
21,703,0.14411765336990356,3.283562421798706,,
22,735,,,0.18333333730697632,3.2905046939849854
22,735,0.14509804546833038,3.3033790588378906,,
23,767,,,0.17843137681484222,3.279378652572632
23,767,0.1568627506494522,3.1862831115722656,,
24,799,,,0.19411765038967133,3.268779754638672
24,799,0.16078431904315948,3.2507402896881104,,
25,831,,,0.1764705926179886,3.2869060039520264
25,831,0.14901961386203766,3.2667272090911865,,
26,863,,,0.18431372940540314,3.3139336109161377
26,863,0.1558823585510254,3.2123732566833496,,
27,895,,,0.17941176891326904,3.2948238849639893
27,895,0.1568627506494522,3.1653735637664795,,
28,927,,,0.18333333730697632,3.261050224304199
28,927,0.1666666716337204,3.170135736465454,,
29,959,,,0.19019608199596405,3.292872667312622
29,959,0.1666666716337204,3.1848807334899902,,
30,991,,,0.19509804248809814,3.2510364055633545
30,991,0.17843137681484222,3.1642234325408936,,
31,1023,,,0.1872549057006836,3.267528772354126
31,1023,0.1764705926179886,3.0828943252563477,,
32,1055,,,0.18529412150382996,3.248258590698242
32,1055,0.1715686321258545,3.1525514125823975,,
33,1087,,,0.19705882668495178,3.2414681911468506
33,1087,0.16960784792900085,3.1583096981048584,,
34,1119,,,0.18627451360225677,3.260175943374634
34,1119,0.18333333730697632,3.1133737564086914,,
35,1151,,,0.20098039507865906,3.2395131587982178
35,1151,0.16372549533843994,3.14967679977417,,
36,1183,,,0.19705882668495178,3.2482402324676514
36,1183,0.1823529452085495,3.0385210514068604,,
37,1215,,,0.21176470816135406,3.2151734828948975
37,1215,0.18039216101169586,3.0524837970733643,,
38,1247,,,0.20000000298023224,3.198573350906372
38,1247,0.17352941632270813,3.082811117172241,,
39,1279,,,0.20588235557079315,3.2488749027252197
39,1279,0.17843137681484222,3.0774106979370117,,
40,1311,,,0.19901961088180542,3.2478456497192383
40,1311,0.19019608199596405,2.976706027984619,,
41,1343,,,0.20392157137393951,3.2753140926361084
41,1343,0.1882352977991104,3.059096574783325,,
42,1375,,,0.20196078717708588,3.2627816200256348
42,1375,0.1921568661928177,3.0423576831817627,,
43,1407,,,0.2088235318660736,3.222074508666992
43,1407,0.21666666865348816,2.916429042816162,,
