epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,0.14411765336990356,4.3968377113342285
0,31,0.027450980618596077,4.632937908172607,,
1,63,,,0.2911764681339264,3.9449656009674072
1,63,0.08137255162000656,4.284093856811523,,
2,95,,,0.4843137264251709,3.4035837650299072
2,95,0.1725490242242813,3.8049144744873047,,
3,127,,,0.593137264251709,2.8546578884124756
3,127,0.28823530673980713,3.2562601566314697,,
4,159,,,0.6490195989608765,2.394932985305786
4,159,0.40882351994514465,2.7421345710754395,,
5,191,,,0.6784313917160034,2.0321836471557617
5,191,0.477450966835022,2.317877769470215,,
6,223,,,0.7107843160629272,1.7673660516738892
6,223,0.5313725471496582,2.028000593185425,,
7,255,,,0.7284313440322876,1.5701797008514404
7,255,0.5598039031028748,1.7921113967895508,,
8,287,,,0.7343137264251709,1.4679988622665405
8,287,0.6058823466300964,1.6378382444381714,,
9,319,,,0.7460784316062927,1.3054300546646118
9,319,0.6421568393707275,1.447729468345642,,
10,351,,,0.7421568632125854,1.245457410812378
10,351,0.7029411792755127,1.2900036573410034,,
11,383,,,0.7617647051811218,1.1548922061920166
11,383,0.7147058844566345,1.180367350578308,,
12,415,,,0.7901960611343384,1.0928699970245361
12,415,0.7254902124404907,1.1055747270584106,,
13,447,,,0.7764706015586853,1.0674943923950195
13,447,0.7333333492279053,1.0495985746383667,,
14,479,,,0.7852941155433655,0.9855669736862183
14,479,0.7588235139846802,0.9697474837303162,,
15,511,,,0.7813725471496582,0.9522408843040466
15,511,0.7745097875595093,0.8833264112472534,,
16,543,,,0.779411792755127,0.9445704221725464
16,543,0.7813725471496582,0.8496623635292053,,
17,575,,,0.7852941155433655,0.9195012450218201
17,575,0.8019607663154602,0.7756304144859314,,
18,607,,,0.7843137383460999,0.9026218056678772
18,607,0.7980391979217529,0.7695470452308655,,
19,639,,,0.8019607663154602,0.864063024520874
19,639,0.8019607663154602,0.75865638256073,,
20,671,,,0.8009803891181946,0.8334333896636963
20,671,0.8156862854957581,0.7040977478027344,,
21,703,,,0.7764706015586853,0.8500736355781555
21,703,0.8245097994804382,0.6558701992034912,,
22,735,,,0.8019607663154602,0.8339367508888245
22,735,0.8313725590705872,0.6304997801780701,,
23,767,,,0.8117647171020508,0.7867774367332458
23,767,0.8450980186462402,0.6062616109848022,,
24,799,,,0.800000011920929,0.776275098323822
24,799,0.8343137502670288,0.6091669201850891,,
25,831,,,0.8166666626930237,0.7778482437133789
25,831,0.863725483417511,0.5464633703231812,,
26,863,,,0.8107843399047852,0.746581494808197
26,863,0.8676470518112183,0.5201094150543213,,
27,895,,,0.8235294222831726,0.7530428767204285
27,895,0.8696078658103943,0.5250566601753235,,
28,927,,,0.8029412031173706,0.7498724460601807
28,927,0.8764705657958984,0.4882733225822449,,
29,959,,,0.7960784435272217,0.7586459517478943
29,959,0.865686297416687,0.5328590273857117,,
30,991,,,0.8107843399047852,0.7208124995231628
30,991,0.8813725709915161,0.49635687470436096,,
31,1023,,,0.8107843399047852,0.7405577301979065
31,1023,0.8784313797950745,0.47439509630203247,,
32,1055,,,0.8117647171020508,0.7348486185073853
32,1055,0.8941176533699036,0.42096081376075745,,
33,1087,,,0.8127450942993164,0.733121931552887
33,1087,0.8774510025978088,0.44986075162887573,,
34,1119,,,0.8196078538894653,0.7175382375717163
34,1119,0.8999999761581421,0.4260646402835846,,
35,1151,,,0.8215686082839966,0.7076602578163147
35,1151,0.886274516582489,0.41131627559661865,,
36,1183,,,0.8147059082984924,0.6990182995796204
36,1183,0.8960784077644348,0.39020836353302,,
37,1215,,,0.8166666626930237,0.696651816368103
37,1215,0.9049019813537598,0.38393446803092957,,
38,1247,,,0.8147059082984924,0.7159700989723206
38,1247,0.8901960849761963,0.38589271903038025,,
39,1279,,,0.7970588207244873,0.728463888168335
39,1279,0.9098039269447327,0.3647766411304474,,
40,1311,,,0.7941176295280457,0.7361573576927185
40,1311,0.8950980305671692,0.37193596363067627,,
41,1343,,,0.813725471496582,0.6982275247573853
41,1343,0.9039215445518494,0.3841845691204071,,
42,1375,,,0.8127450942993164,0.7214964628219604
42,1375,0.9127451181411743,0.35691043734550476,,
